age,workclass,education,marital-status,occupation,gender,hours-per-week,experience
36,3,8,2,12,1,60,21
33,3,8,2,6,0,35,18
23,3,0,2,4,1,40,11
46,3,9,2,10,1,40,26
18,3,11,4,0,0,22,2
40,3,8,2,3,1,55,25
43,4,8,2,3,1,45,28
34,3,9,4,10,0,30,14
47,5,8,6,3,0,30,32
44,3,5,6,3,0,30,27
33,3,8,2,12,1,40,18
55,3,6,2,3,1,50,36
19,3,8,4,12,1,30,4
28,3,11,4,7,1,14,12
27,3,1,2,7,0,32,14
22,3,1,4,2,1,40,9
40,6,6,2,0,1,45,21
25,3,11,4,0,0,40,9
26,1,8,4,2,1,40,11
22,3,6,4,12,1,25,3
42,3,11,4,5,0,40,26
38,4,6,0,3,1,40,19
55,3,1,2,7,1,30,42
32,3,8,2,12,1,40,17
22,3,8,2,2,1,45,7
29,3,6,4,12,1,40,10
46,6,9,2,3,1,45,26
31,3,11,2,3,1,40,15
58,5,7,2,10,1,16,36
42,3,8,2,2,1,45,27
18,3,8,4,5,1,25,3
58,1,8,0,3,1,33,43
54,3,8,2,10,1,40,39
34,3,9,4,10,1,40,14
26,3,6,4,0,0,40,7
61,3,2,2,3,1,60,47
48,1,9,5,0,0,40,28
36,3,11,2,3,1,45,20
24,3,5,2,6,1,45,7
40,3,11,2,6,1,37,24
33,4,8,2,12,1,50,18
37,3,11,2,6,1,40,21
34,3,9,4,3,1,40,14
56,4,11,2,3,1,40,40
28,2,8,2,8,0,38,13
37,3,6,6,3,0,55,18
44,3,8,0,12,0,40,29
64,2,11,2,8,1,8,48
54,3,8,0,5,1,45,39
23,3,8,4,6,1,50,8
34,6,6,3,4,1,40,15
22,3,8,4,7,0,45,7
33,3,6,2,3,1,40,14
39,3,6,5,10,1,50,20
47,3,11,0,0,0,37,31
26,3,8,4,10,0,55,11
31,3,11,0,3,0,40,15
44,3,11,4,14,1,45,28
42,4,10,2,10,0,50,21
19,3,8,4,6,0,40,4
27,3,8,2,5,1,40,12
51,1,11,2,11,1,40,35
28,4,6,2,3,1,50,9
57,3,6,0,2,1,45,38
45,1,6,0,10,0,40,26
50,3,5,2,10,1,40,33
34,4,6,2,12,1,54,15
73,1,8,2,3,1,20,58
34,3,6,2,10,0,50,15
31,3,11,2,12,1,55,15
19,3,1,4,12,1,12,6
25,3,11,4,7,0,50,9
38,0,5,0,2,0,40,21
39,3,6,2,14,1,40,20
23,3,6,4,13,0,32,4
49,3,8,2,6,1,40,34
33,0,8,4,7,1,32,18
31,3,5,5,2,1,40,14
23,3,6,4,3,0,45,4
34,3,6,2,0,1,40,15
25,3,8,4,6,0,40,10
39,3,8,4,2,1,40,24
52,4,8,2,12,1,40,37
63,1,3,2,14,1,40,52
41,3,11,2,2,1,40,25
46,3,6,2,10,1,38,27
53,1,8,2,3,1,40,38
25,2,3,5,8,0,40,14
18,3,2,4,9,1,40,4
38,3,10,2,10,1,50,17
55,3,9,4,3,0,50,35
34,3,8,2,13,1,40,19
34,3,5,0,13,0,60,17
52,3,11,2,13,1,40,36
42,3,8,4,7,0,28,27
26,3,11,4,12,0,40,10
31,3,8,2,14,1,40,16
25,1,8,4,7,0,35,10
55,5,8,2,2,1,60,40
19,3,11,4,7,0,12,3
62,5,11,2,14,1,32,46
22,0,11,4,0,0,20,6
39,2,8,2,8,0,50,24
35,3,8,2,5,1,40,20
28,3,8,2,12,0,40,13
47,3,8,2,14,1,70,32
44,6,8,2,6,1,40,29
21,3,11,4,12,1,15,5
35,3,5,4,2,1,50,18
24,3,6,2,10,1,40,5
42,0,6,4,10,1,40,23
28,3,6,4,13,1,50,9
21,3,11,4,6,1,35,5
62,0,11,0,13,1,40,46
39,3,8,4,7,0,40,24
30,6,8,4,7,1,40,15
72,5,10,4,10,1,20,51
50,3,11,2,3,0,50,34
28,1,9,4,10,1,40,8
29,3,11,4,10,0,40,13
26,3,6,4,0,0,40,7
27,3,9,4,3,0,40,7
29,3,11,2,5,1,40,13
61,2,8,2,8,1,40,46
29,3,0,2,2,1,25,17
21,2,11,4,8,0,30,5
31,3,1,2,12,0,20,18
25,3,8,2,3,1,75,10
58,3,0,2,14,1,40,46
64,3,11,2,3,0,40,48
46,6,9,4,3,1,38,26
53,2,8,2,8,1,35,38
19,3,8,4,7,0,35,4
42,3,8,0,7,1,52,27
18,3,1,4,5,1,24,5
58,4,6,2,2,1,50,39
20,3,11,4,11,1,60,4
35,0,8,2,2,1,40,20
32,3,8,2,5,1,38,17
23,3,8,4,5,0,25,8
31,3,11,0,13,0,40,15
33,3,6,2,12,1,55,14
41,3,11,4,6,0,48,25
22,3,8,4,6,1,40,7
46,3,11,2,11,1,40,30
61,0,11,2,14,1,40,45
30,3,8,4,3,1,40,15
42,3,8,2,3,1,55,27
63,3,0,2,5,1,40,51
26,3,11,2,12,1,40,10
42,3,0,0,0,0,40,30
23,3,11,2,7,1,40,7
25,3,8,4,6,1,40,10
30,3,3,2,7,1,32,19
23,3,8,4,12,1,40,8
34,5,5,4,4,1,60,17
30,3,8,2,6,1,48,15
39,3,11,2,2,1,40,23
30,3,1,4,5,1,38,17
38,1,11,0,0,0,38,22
26,3,8,0,3,0,40,11
20,3,11,4,5,1,16,4
37,1,6,4,10,1,40,18
33,3,8,2,0,0,40,18
24,3,6,4,0,1,40,5
42,4,6,2,3,1,60,23
51,5,8,2,12,1,84,36
56,1,4,2,13,1,45,38
22,3,11,4,5,1,40,6
52,5,11,2,4,1,60,36
44,3,6,0,3,0,45,25
34,3,8,2,0,0,35,19
51,3,11,0,2,1,42,35
20,2,11,4,8,1,40,4
19,3,11,4,12,0,25,3
37,3,6,2,3,1,40,18
68,3,8,2,6,1,40,53
22,3,11,0,11,1,40,6
56,4,6,2,3,1,40,37
37,3,8,2,2,1,40,22
26,3,8,5,5,1,40,11
33,3,9,2,10,1,50,13
45,1,9,0,10,0,42,25
18,3,1,4,7,1,15,5
43,5,11,2,4,1,60,27
64,5,7,2,10,1,50,42
18,3,8,4,5,1,20,3
20,2,11,4,8,1,45,4
57,3,8,2,2,1,40,42
41,3,8,0,0,0,42,26
34,3,9,2,3,1,50,14
19,3,8,4,12,0,40,4
44,3,3,0,7,0,55,33
56,3,0,6,7,0,40,44
36,4,8,2,4,1,80,21
48,3,6,0,3,0,48,29
29,3,8,2,14,1,40,14
33,3,6,4,2,1,40,14
39,3,9,2,10,1,45,19
66,3,8,2,3,1,40,51
27,3,6,4,10,0,50,8
39,3,8,0,3,0,40,24
26,3,8,4,7,0,40,11
31,3,5,0,2,1,40,14
45,2,8,6,8,0,40,30
23,3,8,4,5,1,30,8
36,1,8,0,0,0,40,21
34,3,11,2,7,0,12,18
32,3,8,2,14,1,84,17
37,3,6,2,10,1,50,18
33,3,6,4,12,1,45,14
50,5,10,2,10,1,80,29
32,0,4,4,11,1,40,14
35,3,6,4,0,0,40,16
37,3,1,2,2,1,40,24
44,3,11,0,2,1,60,28
57,3,11,0,5,1,25,41
29,1,11,2,3,0,40,13
55,3,8,2,2,1,50,40
43,4,10,2,10,1,25,22
43,3,11,2,12,1,70,27
45,5,11,2,12,1,60,29
33,5,9,2,10,0,8,13
26,3,0,0,7,0,40,14
23,3,11,2,12,1,68,7
24,3,8,2,2,1,40,9
47,5,6,2,12,1,44,28
34,5,8,4,2,1,45,19
40,3,8,2,3,1,40,25
28,3,6,2,10,0,40,9
24,3,8,4,3,0,40,9
73,2,11,2,8,1,10,57
23,3,8,4,2,1,15,8
43,5,8,2,3,1,40,28
26,3,6,0,13,0,40,7
58,5,7,1,3,0,35,36
52,3,8,6,0,0,35,37
29,3,1,2,14,1,99,16
47,3,1,2,7,1,35,34
49,3,8,0,0,0,37,34
40,3,1,6,0,0,40,27
62,5,8,2,0,0,40,47
49,3,8,2,3,1,55,34
50,3,6,0,10,0,50,31
31,3,8,4,14,1,40,16
48,1,9,4,10,0,50,28
24,3,8,4,2,0,40,9
41,2,8,4,8,0,40,26
37,3,8,5,6,1,60,22
45,3,6,2,3,1,45,26
63,2,8,2,8,1,16,48
36,3,9,2,3,1,45,16
45,3,6,2,3,1,40,26
41,3,6,4,12,0,40,22
26,3,4,4,13,0,20,8
17,3,1,4,12,0,25,4
27,3,8,2,7,1,36,12
43,3,8,2,6,1,65,28
35,3,8,4,14,1,55,20
38,3,6,0,0,0,40,19
26,3,8,4,6,1,40,11
28,3,11,4,3,0,40,12
38,3,6,2,10,0,24,19
36,3,1,0,14,0,40,23
33,3,8,2,0,0,40,18
19,3,8,4,5,1,70,4
22,2,4,4,8,1,25,4
42,0,0,2,0,1,40,30
50,3,0,2,14,1,40,38
30,3,8,2,5,1,30,15
37,6,11,2,10,1,40,21
54,4,10,2,10,1,40,33
52,4,6,4,3,1,40,33
33,3,8,0,2,0,40,18
25,3,11,4,13,1,40,9
24,3,6,4,12,1,45,5
26,3,5,5,0,0,40,9
39,3,8,5,0,1,40,24
59,3,8,0,7,0,40,44
29,3,11,4,0,0,40,13
47,3,1,4,7,0,45,34
23,2,11,4,8,0,35,7
64,4,8,2,14,1,50,49
21,3,8,4,7,1,20,6
32,3,11,2,0,0,40,16
26,3,8,4,3,0,37,11
19,2,11,4,8,0,20,3
62,5,9,2,10,1,40,42
32,3,6,2,2,1,55,13
75,2,0,3,8,0,5,63
45,5,8,2,3,1,60,30
31,3,6,2,3,1,50,12
32,3,8,2,0,1,40,17
24,3,6,2,12,1,40,5
25,3,6,4,12,0,40,6
41,5,8,2,3,1,60,26
18,3,11,4,12,0,20,2
44,3,7,2,10,1,55,22
40,3,11,2,3,1,50,24
27,3,6,4,10,1,40,8
23,3,6,4,0,1,40,4
21,3,11,4,0,1,40,5
37,6,8,2,14,1,40,22
65,5,8,2,4,1,48,50
43,0,9,2,10,1,40,23
45,3,8,4,0,1,44,30
24,6,6,4,3,0,40,5
24,3,11,4,6,1,42,8
19,1,11,4,11,1,35,3
37,3,6,2,10,1,65,18
24,3,8,4,0,0,35,9
34,3,11,2,6,1,40,18
50,6,8,2,7,0,39,35
36,3,8,2,2,1,40,21
39,3,6,2,12,1,60,20
45,6,8,2,7,1,40,30
32,6,1,4,11,1,40,19
47,0,9,2,3,1,40,27
50,3,8,2,6,1,40,35
32,3,5,2,7,1,40,15
19,3,8,4,5,1,40,4
19,2,11,4,8,0,20,3
28,6,9,0,10,1,10,8
28,3,8,0,12,1,50,13
39,0,9,4,10,1,40,19
21,3,11,4,7,1,40,5
73,5,11,6,4,0,75,57
25,3,11,4,6,1,40,9
31,3,11,1,12,0,20,15
51,3,11,0,12,0,32,35
39,3,6,2,0,0,28,20
31,3,6,0,5,1,40,12
21,3,11,4,12,1,17,5
46,3,6,0,3,1,50,27
73,3,8,0,3,0,35,58
41,3,8,0,2,1,40,26
20,3,8,4,14,1,40,5
27,3,4,4,7,1,30,9
24,3,6,4,10,1,35,5
20,3,11,2,2,1,40,4
39,3,5,4,6,1,40,22
27,3,6,4,5,1,28,8
33,3,1,2,12,1,60,20
33,3,8,2,5,1,40,18
36,6,3,2,2,1,40,25
55,3,11,2,3,1,36,39
19,3,11,4,6,1,40,3
35,3,8,4,3,1,60,20
62,6,10,0,10,0,35,41
33,5,11,2,2,1,40,17
39,3,3,2,2,1,55,28
36,1,11,2,13,1,40,20
41,3,6,0,0,0,33,22
39,5,8,2,2,1,60,24
38,2,8,2,8,0,10,23
18,3,8,4,0,0,10,3
61,3,11,2,3,1,45,45
20,0,5,4,0,0,36,3
35,5,8,2,14,1,65,20
27,3,8,4,6,1,40,12
66,3,0,6,7,0,38,54
21,3,8,4,14,1,40,6
20,3,11,4,7,0,18,4
34,3,11,0,0,1,40,18
20,2,8,4,8,1,40,5
31,3,8,5,13,0,40,16
41,3,7,2,10,1,60,19
32,3,6,4,3,0,40,13
30,1,8,2,14,1,50,15
36,5,6,2,4,1,72,17
22,3,11,4,4,1,12,6
53,1,11,2,3,1,50,37
50,3,8,6,0,0,40,35
36,3,6,2,3,1,40,17
41,4,1,2,3,1,40,28
55,3,6,4,3,0,35,36
38,3,6,2,12,1,50,19
28,3,6,4,3,1,50,9
24,1,6,4,10,0,37,5
60,3,11,0,0,0,40,44
54,3,0,2,7,1,40,42
27,4,8,2,2,1,60,12
30,3,9,2,10,0,30,10
54,3,8,6,14,1,45,39
44,3,11,2,2,1,40,28
52,3,8,2,14,1,60,37
18,3,1,4,7,1,20,5
35,3,6,2,10,1,50,16
37,3,6,0,3,0,40,18
22,3,11,4,0,0,40,6
45,3,6,2,3,1,45,26
38,3,6,2,4,1,60,19
48,3,6,2,10,1,40,29
35,3,5,2,7,1,40,18
21,3,5,2,2,1,50,4
37,5,8,2,2,1,60,22
18,3,1,4,12,1,25,5
26,3,0,0,6,1,35,14
48,4,6,2,2,1,50,29
51,3,11,5,0,1,40,35
52,3,11,2,2,1,40,36
32,6,6,2,4,1,40,13
39,5,6,2,7,1,60,20
51,3,6,2,10,1,40,32
54,3,6,2,12,1,50,35
21,3,11,4,10,0,25,5
43,3,8,5,0,0,40,28
32,3,11,4,0,0,40,16
31,6,9,2,10,1,35,11
73,2,8,2,8,1,8,58
26,3,11,4,0,1,60,10
35,3,8,4,2,1,40,20
25,5,6,4,12,0,40,6
58,5,5,2,4,1,65,41
32,3,8,5,7,0,37,17
28,3,6,2,10,1,40,9
41,5,9,4,12,0,30,21
53,5,8,2,2,1,48,38
49,3,8,5,0,0,35,34
55,3,6,2,10,1,40,36
29,3,11,2,0,0,50,13
28,5,5,2,4,1,80,11
44,3,8,2,2,1,45,29
41,3,9,2,3,1,45,21
26,3,5,2,12,1,45,9
23,3,8,2,12,1,40,8
37,5,6,2,10,0,40,18
23,3,6,4,10,1,50,4
33,3,11,4,7,0,40,17
44,3,8,4,2,1,40,29
21,3,11,4,11,1,30,5
36,3,1,2,3,1,40,23
44,1,6,2,0,1,40,25
23,3,8,4,7,0,40,8
26,3,8,0,3,1,40,11
31,3,11,2,5,1,40,15
50,1,8,5,3,0,35,35
18,4,11,4,0,0,20,2
49,3,6,2,3,1,50,30
59,3,8,0,7,0,40,44
38,3,8,5,6,0,28,23
50,4,11,2,12,1,55,34
51,4,11,2,2,1,55,35
22,3,11,4,6,1,35,6
54,3,8,2,6,0,40,39
37,3,8,4,14,1,40,22
31,3,6,6,0,1,60,12
67,6,6,2,3,1,40,48
43,2,1,5,8,1,40,30
21,3,11,4,3,0,40,5
30,3,8,4,0,0,40,15
32,1,11,2,11,1,50,16
36,3,5,4,2,1,40,19
33,1,6,4,0,1,40,14
37,3,8,2,2,1,56,22
29,3,10,2,10,1,48,8
18,2,11,4,8,1,30,2
26,3,11,4,12,1,40,10
39,3,8,2,6,1,40,24
18,3,8,4,7,1,30,3
52,3,2,2,6,1,40,38
31,3,11,2,4,1,40,15
45,3,6,2,3,1,53,26
38,3,11,2,6,1,38,22
21,3,4,4,12,0,35,3
33,3,8,5,5,1,40,18
39,3,11,0,2,1,40,23
31,3,8,2,6,1,40,16
43,3,6,2,3,1,50,24
64,2,6,2,8,1,10,45
33,4,6,2,3,1,45,14
49,5,8,2,4,1,60,34
41,3,8,2,6,1,40,26
55,5,11,0,6,1,40,39
52,3,11,0,0,0,37,36
42,3,6,0,10,1,40,23
24,3,11,4,0,0,30,8
42,3,8,3,0,1,52,27
41,6,6,2,3,1,40,22
35,3,8,2,6,1,40,20
54,0,9,0,3,1,42,34
59,2,8,6,8,0,40,44
30,2,1,4,8,0,40,17
57,0,6,2,3,0,40,38
58,6,9,2,3,1,40,38
32,3,8,4,7,1,40,17
22,3,8,4,12,0,25,7
20,3,8,0,7,0,25,5
60,2,6,2,8,1,40,41
51,3,8,0,10,0,40,36
26,1,8,4,0,0,20,11
33,3,1,2,2,1,40,20
19,3,0,4,12,0,40,7
50,5,8,2,7,0,20,35
32,3,8,2,12,1,40,17
51,1,6,2,14,1,40,32
18,3,11,4,12,0,20,2
35,0,9,2,3,1,50,15
22,2,11,0,8,1,25,6
46,3,8,0,2,1,55,31
37,3,8,0,12,1,45,22
45,3,11,2,0,0,20,29
63,3,3,2,5,1,32,52
53,3,8,4,7,1,10,38
24,3,8,4,0,0,40,9
65,2,1,2,8,1,29,52
43,3,4,4,10,0,32,25
47,3,8,2,6,1,40,32
41,3,8,4,3,0,40,26
27,3,8,0,6,1,40,12
35,4,8,2,3,1,75,20
19,3,11,4,0,0,24,3
47,3,11,5,7,0,35,31
25,0,6,4,0,0,40,6
59,1,10,2,3,1,40,38
28,3,0,4,6,0,40,16
17,3,0,4,12,0,20,5
21,3,11,4,3,1,50,5
31,3,8,0,12,0,40,16
49,3,8,0,5,0,40,34
48,1,9,2,10,1,50,28
60,5,7,0,12,1,20,38
33,5,2,4,14,1,40,19
40,3,8,2,2,1,40,25
42,3,11,2,2,1,52,26
34,3,8,2,14,1,40,19
38,0,5,0,0,1,52,21
58,5,11,2,3,1,70,42
20,3,11,4,0,0,40,4
52,3,11,5,12,0,55,36
22,1,11,2,11,1,40,6
24,3,6,2,4,1,35,5
39,3,8,0,6,0,40,24
41,3,9,2,3,1,55,21
37,2,11,2,8,1,30,21
56,3,3,2,2,1,40,45
21,3,8,4,7,0,40,6
29,3,8,0,12,0,25,14
45,3,5,0,7,1,10,28
44,1,11,2,11,1,80,28
54,3,9,2,10,1,45,34
24,3,11,4,2,1,40,8
40,3,6,2,3,1,50,21
43,6,6,4,10,1,60,24
20,2,11,4,8,1,16,4
41,5,1,0,7,0,40,28
32,3,5,0,0,0,40,15
31,3,6,2,0,0,25,12
26,3,8,0,0,1,40,11
50,6,6,2,2,1,40,31
62,4,5,2,3,1,40,45
24,3,8,2,7,1,45,9
58,3,6,0,3,1,65,39
44,4,11,2,2,1,40,28
44,3,2,0,7,1,40,30
37,4,11,2,14,1,50,21
33,3,8,2,2,1,40,18
34,2,8,3,8,0,37,19
56,5,9,2,10,1,60,36
35,3,9,2,3,1,48,15
33,3,6,4,10,1,40,14
35,3,6,2,13,1,48,16
47,5,11,3,3,0,60,31
35,5,3,2,2,1,96,24
56,3,11,0,12,0,40,40
29,4,9,4,10,1,40,9
53,4,10,2,10,1,50,32
42,3,5,5,12,0,25,25
20,2,11,4,8,0,40,4
24,3,6,4,13,1,50,5
33,3,8,2,6,1,40,18
42,3,0,2,12,1,45,30
38,6,11,2,11,1,50,22
32,3,8,4,6,1,40,17
32,3,8,2,2,1,50,17
28,1,11,2,11,1,40,12
51,3,8,2,2,1,55,36
41,1,8,4,7,1,30,26
37,1,4,3,7,0,50,19
23,3,8,2,7,0,40,8
40,3,8,2,2,1,40,25
47,3,0,2,6,1,40,35
46,5,8,2,3,1,50,31
24,3,6,4,12,1,40,5
40,3,8,0,6,0,28,25
30,5,8,2,6,1,60,15
41,6,10,6,10,0,52,20
37,6,6,2,0,0,45,18
49,0,8,2,14,1,40,34
41,0,6,2,3,0,50,22
52,1,5,2,3,1,35,35
23,3,11,4,12,1,50,7
34,3,8,0,2,0,40,19
25,6,6,4,3,0,40,6
44,4,8,2,2,1,45,29
31,1,8,0,10,1,33,16
53,3,6,0,0,0,40,34
62,3,8,2,3,1,50,47
35,3,6,4,3,1,55,16
30,0,6,4,10,1,40,11
48,6,8,2,0,0,40,33
36,3,6,4,10,0,40,17
32,3,1,0,7,1,33,19
22,3,11,4,9,0,28,6
17,2,1,4,8,1,40,4
19,3,8,4,10,0,40,4
26,3,8,4,0,0,40,11
20,2,11,4,8,1,40,4
56,6,11,2,3,1,35,40
23,3,11,4,0,0,40,7
31,3,8,5,5,1,40,16
30,3,1,4,12,0,8,17
42,3,8,2,5,1,35,27
27,6,10,2,10,1,60,6
37,3,6,2,3,1,50,18
31,3,8,4,6,1,60,16
33,3,6,5,10,0,40,14
32,3,8,0,7,0,40,17
62,2,8,2,8,1,40,47
37,3,11,2,2,1,40,21
25,3,1,2,14,1,40,12
49,3,8,2,0,1,40,34
36,3,6,2,10,1,40,17
67,3,11,2,5,1,15,51
54,3,8,2,5,1,40,39
45,1,7,4,10,0,40,23
30,3,11,4,2,1,40,14
39,6,8,2,11,0,40,24
57,3,0,0,7,0,20,45
57,3,0,4,7,1,40,45
23,5,8,2,4,1,40,8
49,1,8,2,7,1,40,34
46,6,6,2,10,1,10,27
41,6,6,4,13,0,43,22
44,3,5,2,13,1,45,27
25,3,6,4,7,0,30,6
34,1,6,2,2,1,45,15
24,3,6,4,12,1,25,5
32,3,6,4,3,0,45,13
27,1,8,2,13,1,50,12
67,3,2,2,6,1,40,53
36,3,8,2,2,1,40,21
40,3,11,0,3,1,48,24
24,3,8,2,14,1,40,9
46,3,6,2,12,1,40,27
44,6,8,0,0,0,38,29
23,5,11,2,2,1,40,7
46,3,10,4,10,1,90,25
31,3,5,4,13,1,40,14
21,1,11,2,11,1,40,5
61,3,8,2,2,1,40,46
71,5,8,2,4,1,15,56
42,3,6,2,3,1,40,23
27,2,11,2,8,1,5,11
21,6,11,4,7,0,16,5
28,1,6,0,10,0,60,9
27,1,4,4,10,0,37,9
32,3,11,4,7,0,25,16
47,3,8,0,5,1,40,32
22,3,4,4,3,1,35,4
56,3,8,2,13,1,40,41
20,3,8,2,7,0,40,5
30,3,11,4,12,0,40,14
22,3,11,4,7,0,25,6
28,3,5,2,2,1,45,11
50,3,9,2,3,1,55,30
66,6,8,2,6,0,10,51
38,3,11,4,7,1,46,22
62,3,2,2,3,1,30,48
36,0,9,0,13,0,40,16
47,3,0,2,2,1,35,35
25,3,8,4,13,1,40,10
26,3,11,2,14,1,40,10
37,3,1,2,4,1,40,24
52,3,1,2,14,1,40,39
70,3,3,2,3,1,18,59
19,6,8,4,11,1,40,4
23,3,1,4,2,1,3,10
37,3,6,2,10,0,16,18
37,3,1,5,12,0,40,24
45,6,11,0,10,0,40,29
29,3,6,2,3,1,50,10
56,5,6,2,3,1,20,37
50,3,9,2,13,1,40,30
20,3,8,4,0,1,30,5
26,3,6,4,0,1,40,7
41,4,10,2,10,1,60,20
21,3,8,4,5,1,40,6
22,3,11,4,7,1,40,6
37,6,4,2,7,1,35,19
47,3,11,2,2,1,30,31
61,3,6,0,12,1,40,42
47,1,9,2,10,1,40,27
37,3,8,2,2,1,25,22
46,6,5,5,0,0,40,29
42,5,8,2,12,1,48,27
41,3,8,0,0,0,40,26
33,1,3,2,7,1,40,22
24,3,6,4,10,1,35,5
27,3,4,4,13,1,40,9
40,0,6,2,3,1,39,21
56,3,0,2,6,1,40,44
35,0,7,2,10,1,55,13
24,3,5,4,2,1,40,7
73,5,11,2,10,0,1,57
36,3,11,4,12,1,50,20
31,3,6,2,2,1,50,12
50,2,8,2,8,1,45,35
36,3,8,4,5,1,40,21
37,3,8,2,12,1,40,22
26,3,6,4,10,0,55,7
20,3,8,4,11,1,40,5
58,3,6,2,10,1,40,39
45,6,6,2,10,1,40,26
33,2,6,4,8,1,40,14
31,3,6,4,13,0,40,12
44,3,10,2,10,1,60,23
19,1,11,4,10,0,30,3
54,3,8,2,13,1,50,39
31,6,9,2,10,1,40,11
27,3,8,2,2,1,35,12
36,3,11,2,12,1,40,20
47,0,11,0,0,1,40,31
35,3,6,2,3,1,45,16
45,3,6,0,3,0,40,26
70,3,8,2,2,1,40,55
27,1,2,4,7,0,44,13
36,3,8,2,10,1,60,21
23,3,8,3,6,1,40,8
25,3,6,4,3,1,50,6
45,5,11,2,2,1,45,29
24,3,8,4,5,1,30,9
50,3,8,2,6,1,44,35
37,3,8,2,2,1,99,22
31,3,11,4,0,0,40,15
17,3,1,4,4,1,40,4
26,3,11,4,0,1,38,10
41,3,7,2,10,1,60,19
50,4,8,2,3,1,60,35
45,5,8,2,14,1,80,30
